municipalityCode,population,populationAsOf,areaKm2,areaAsOf
20204,47790,2020-10-01,,
20205,98164,2020-10-01,,
20206,48729,2020-10-01,,
20207,49559,2020-10-01,,
20208,40991,2020-10-01,,
20209,66125,2020-10-01,,
20210,32202,2020-10-01,,
20211,42338,2020-10-01,,
20212,26029,2020-10-01,,
20213,19539,2020-10-01,,
20214,56400,2020-10-01,,
20215,67241,2020-10-01,,
20217,98199,2020-10-01,,
20218,58852,2020-10-01,,
20219,30122,2020-10-01,,
20220,94222,2020-10-01,,
20303,4353,2020-10-01,,
20304,4344,2020-10-01,,
20305,3242,2020-10-01,,
20306,962,2020-10-01,,
20307,752,2020-10-01,,
20309,10218,2020-10-01,,
20321,19188,2020-10-01,,
20323,15555,2020-10-01,,
20324,6612,2020-10-01,,
20349,4121,2020-10-01,,
20350,5600,2020-10-01,,
20361,19155,2020-10-01,,
20362,14084,2020-10-01,,
20363,7680,2020-10-01,,
20382,18555,2020-10-01,,
20383,24989,2020-10-01,,
20384,9004,2020-10-01,,
20385,15797,2020-10-01,,
20386,4651,2020-10-01,,
20388,8569,2020-10-01,,
20402,12530,2020-10-01,,
20403,12811,2020-10-01,,
20404,4299,2020-10-01,,
20407,6068,2020-10-01,,
20409,387,2020-10-01,,
20410,852,2020-10-01,,
20411,3545,2020-10-01,,
20412,548,2020-10-01,,
20413,1178,2020-10-01,,
20414,1542,2020-10-01,,
20415,5973,2020-10-01,,
20416,6426,2020-10-01,,
20417,1023,2020-10-01,,
20422,4131,2020-10-01,,
20423,3915,2020-10-01,,
20425,2692,2020-10-01,,
20429,715,2020-10-01,,
20430,3439,2020-10-01,,
20432,10584,2020-10-01,,
20446,2593,2020-10-01,,
20448,1639,2020-10-01,,
20450,8400,2020-10-01,,
20451,4279,2020-10-01,,
20452,4149,2020-10-01,,
20481,9382,2020-10-01,,
20482,9599,2020-10-01,,
20485,8575,2020-10-01,,
20486,2647,2020-10-01,,
20521,14004,2020-10-01,,
20541,10660,2020-10-01,,
20543,6617,2020-10-01,,
20561,11352,2020-10-01,,
20562,4375,2020-10-01,,
20563,3279,2020-10-01,,
20583,7739,2020-10-01,,
20588,2215,2020-10-01,,
20590,10296,2020-10-01,,
20602,1660,2020-10-01,,
21201,402557,2020-10-01,,
21202,158286,2020-10-01,,
21203,84419,2020-10-01,,
21204,106732,2020-10-01,,
21205,85283,2020-10-01,,
21206,76570,2020-10-01,,
21207,19247,2020-10-01,,
21208,37150,2020-10-01,,
21209,65649,2020-10-01,,
21210,47774,2020-10-01,,
21211,56689,2020-10-01,,
21212,55348,2020-10-01,,
21213,144521,2020-10-01,,
21214,99968,2020-10-01,,
21215,25280,2020-10-01,,
21216,56388,2020-10-01,,
21217,22538,2020-10-01,,
21218,32928,2020-10-01,,
21219,38997,2020-10-01,,
21220,30428,2020-10-01,,
21221,32735,2020-10-01,,
